6, 3.418920, -4.857835, 7.402872, -0.002132, 0.058888, 0.025847
7, 3.430891, -4.972757, 7.395689, -0.002398, -0.011458, -0.039436
8, 3.162740, -4.948815, 7.431602, -0.025314, 0.009593, -0.018919
9, 2.631228, -5.066131, 7.220912, 0.280851, -0.560104, -0.240349
10, 3.167529, -3.845088, 7.788338, 0.061020, 0.075142, -0.368251
11, 3.512294, -3.876213, 7.948750, -0.025847, -0.006129, -0.048230
12, 1.096544, -2.394202, 2.853889, 1.483130, 0.027712, -1.089832
13, 3.172317, -2.173935, 6.703765, 1.158312, 0.649369, -1.572662
14, 2.116474, -2.138022, 4.790798, 0.144689, 0.521734, -0.672551
15, 1.000776, 0.548272, 0.794875, 0.467908, 0.409020, -0.603538
16, 0.572214, -0.775721, 1.580173, -0.989109, 0.312028, 1.319522
17, 3.691859, -6.076484, 14.906300, 0.079672, 0.463112, -0.503614
18, 1.903390, -0.260968, 0.459687, -0.202511, -0.355994, -0.129234
19, 1.972822, -2.513912, 2.188300, -0.032775, -0.219032, -0.270726
20, 11.355699, -7.204153, 14.575900, 0.170536, -0.647504, 1.069047
21, 1.551443, -2.741361, 5.427655, 0.102855, 1.197749, 0.245145
23, 0.584185, -1.656788, 0.907402, -0.429005, 0.424741, 0.159877
24, 3.069367, -9.272743, 12.188881, -0.689338, -1.140992, -1.434634
25, 8.013393, -13.409924, 15.377957, -0.924625, 0.362655, 0.453519
26, 1.165976, -6.191406, 5.444415, -0.074343, 0.329348, 0.695734
27, 1.618480, -3.406949, 3.854665, 1.392533, -0.669087, -0.642441
28, 0.057461, -3.761291, 2.308010, 0.012257, -0.045299, -0.230757
29, 0.093374, -11.245565, 9.907207, -0.819372, -0.401026, -1.319522
30, 4.896142, -15.466543, 7.682993, -1.050395, -0.286181, 0.354928
31, -0.045490, -6.320693, 2.772485, 0.589415, 0.319755, 0.816175
32, 2.212242, -3.512294, 2.365471, 1.014156, 0.114312, -0.591547
33, -1.400608, -2.552219, 0.248997, -0.463378, -0.177464, -0.088466
34, 2.128445, -6.222530, 3.217807, -0.603005, -0.360257, -0.820971
35, 8.690952, -10.697293, 6.986280, 0.973387, -0.061020, 0.276055
36, 3.658340, -2.949656, 3.404555, 0.148153, 1.022417, 0.449522
37, -0.397437, -1.977611, -0.632069, -0.228891, 0.370916, -0.518802
38, 2.829947, -8.712500, 6.560112, -0.668821, -0.134297, -0.875596
39, 4.469975, -15.710752, 5.561730, -0.800986, 0.134830, -0.166273
40, 0.418985, -8.410830, 2.652776, 0.625387, -0.274723, 0.535057
41, 3.217807, -2.710236, 1.819593, -0.355727, 0.010126, -0.244346
42, -0.205901, -4.752491, 1.829170, -0.633914, 0.104187, -0.691204
43, 0.890643, -11.717223, 8.595184, -0.599541, -0.289378, -1.620092
